ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-02-03,3432.226574080068,3278.5053074254633,3652.386350804482,3432.226574080068,3432.226574080068,31.291815057319464,31.291815057319464,31.291815057319464,31.291815057319464,31.291815057319464,31.291815057319464,0.0,0.0,0.0,3463.5183891373877
2026-02-04,3428.3918824896778,3274.9561487007354,3669.5657930529583,3428.3918824896778,3428.3918824896778,42.912852191440415,42.912852191440415,42.912852191440415,42.912852191440415,42.912852191440415,42.912852191440415,0.0,0.0,0.0,3471.304734681118
2026-02-05,3424.557190899289,3261.58632521736,3646.609604897639,3424.557190899289,3424.557190899289,38.95211823363616,38.95211823363616,38.95211823363616,38.95211823363616,38.95211823363616,38.95211823363616,0.0,0.0,0.0,3463.509309132925
2026-02-06,3420.722499308899,3256.635790182261,3634.030136225869,3420.722499308899,3420.722499308899,30.47603282877165,30.47603282877165,30.47603282877165,30.47603282877165,30.47603282877165,30.47603282877165,0.0,0.0,0.0,3451.1985321376706
2026-02-09,3409.2184245377307,3265.508513086852,3620.9989973289867,3409.2184245377307,3409.2184245377307,25.212489402044117,25.212489402044117,25.212489402044117,25.212489402044117,25.212489402044117,25.212489402044117,0.0,0.0,0.0,3434.4309139397747
2026-02-10,3405.3837329473413,3244.3646081632305,3624.430659901353,3405.3837329473413,3405.3837329473413,31.291815057343904,31.291815057343904,31.291815057343904,31.291815057343904,31.291815057343904,31.291815057343904,0.0,0.0,0.0,3436.675548004685
2026-02-11,3401.549041356952,3245.442830252763,3646.0956127275113,3401.549041356952,3401.549041356952,42.91285219144319,42.91285219144319,42.91285219144319,42.91285219144319,42.91285219144319,42.91285219144319,0.0,0.0,0.0,3444.461893548395
2026-02-12,3397.7143497665625,3242.4694023196516,3621.478102563422,3397.7143497665625,3397.7143497665625,38.95211823366111,38.95211823366111,38.95211823366111,38.95211823366111,38.95211823366111,38.95211823366111,0.0,0.0,0.0,3436.6664680002236
2026-02-13,3393.879658176173,3226.977369290424,3615.3706453217155,3393.879658176173,3393.879658176173,30.4760328291285,30.4760328291285,30.4760328291285,30.4760328291285,30.4760328291285,30.4760328291285,0.0,0.0,0.0,3424.3556910053017
2026-02-18,3374.7062002242255,3226.888738687941,3612.477734704485,3374.7062002242255,3374.7062002242255,42.91285219144927,42.91285219144927,42.91285219144927,42.91285219144927,42.91285219144927,42.91285219144927,0.0,0.0,0.0,3417.619052415675
2026-02-19,3370.8715086338357,3218.039233477135,3597.8236270976354,3370.8715086338357,3370.8715086338357,38.95211823368605,38.95211823368605,38.95211823368605,38.95211823368605,38.95211823368605,38.95211823368605,0.0,0.0,0.0,3409.823626867522
