Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2025-07-11,3512.18701171875,3548.3951252416236,3503.1349833380314,3548.3951252416236,255634700
2025-07-14,3421.66650390625,3521.2388095754795,3394.5104205419148,3512.1867817873676,167151400
2025-07-15,3512.18701171875,3512.18701171875,3421.6667279115654,3439.7707846730027,183209300
2025-07-16,3512.18701171875,3584.6032387644973,3512.18701171875,3575.551210383779,241966800
2025-07-17,3521.239013671875,3557.447126923,3512.186985359094,3557.447126923,111359500
2025-07-18,3494.0830078125,3566.4992359536914,3494.0830078125,3539.343150400745,111030000
2025-07-21,3466.927001953125,3530.291203033208,3466.927001953125,3521.239174307482,89765800
2025-07-22,3475.978759765625,3512.186871846517,3466.926731745402,3494.082815806071,84902800
2025-07-23,3439.770751953125,3494.0829217208056,3430.7187236585114,3475.978865131579,132305000
2025-07-24,3575.55126953125,3575.55126953125,3457.874898635285,3466.9269271657436,206654200
2025-07-25,3512.18701171875,3575.551210383779,3503.1349833380314,3575.551210383779,86263700
2025-07-28,3566.4990234375,3575.5510514157677,3548.394967480964,3566.4990234375,94898300
2025-07-29,3548.395263671875,3557.447292405732,3530.2912062041614,3557.447292405732,98887100
2025-07-30,3421.66650390625,3539.3428651517033,3412.6144761181386,3539.3428651517033,206358500
2025-07-31,3358.302490234375,3430.7187164388897,3349.250461958811,3421.6666881633255,163371700
2025-08-01,3385.458740234375,3439.7709125376005,3385.458740234375,3439.7709125376005,134100500
2025-08-04,3358.302490234375,3385.458575061068,3340.1984336832465,3367.354518509939,104446300
2025-08-05,3385.458740234375,3430.718883820396,3349.2506253655583,3349.2506253655583,184822600
2025-08-06,3358.302490234375,3421.6666881633255,3358.302490234375,3412.6146598877613,100168200
2025-08-07,3358.302490234375,3394.5106033366324,3349.250461958811,3376.406546785504,92746000
2025-08-08,3349.25048828125,3376.4065733213683,3349.25048828125,3358.3025166279563,133180100
2025-08-11,3448.82275390625,3448.82275390625,3367.3544998769685,3367.3544998769685,143167900
2025-08-12,3666.0712890625,3666.0712890625,3466.9266758294757,3494.0827594521606,404797800
2025-08-13,3693.2275390625,3711.331595626532,3611.7592845243566,3675.123482498468,292104000
2025-08-14,3675.12353515625,3711.3316488031096,3657.01947833282,3693.22759197968,164408100
2025-08-15,3729.435546875,3756.5916309541867,3684.175406743022,3711.3314908222087,269255400
2025-08-19,3657.01953125,3711.331702506188,3629.863445621906,3702.27967396349,208409700
2025-08-20,3756.591796875,3756.591796875,3666.0715126129517,3666.0715126129517,173260400
